anzsic06,Area,year,geo_count,ec_count
H45,A338000,2020,30,400
H45,A338100,2020,3,15
H45,A338200,2020,6,45
H45,A338300,2020,3,15
H45,A338400,2020,3,0
H45,A338500,2020,0,9
H45,A338600,2020,0,9
H45,A338800,2020,0,0
H45,A338900,2020,12,120
H45,A339100,2020,3,3
H45,A339200,2020,3,0
H45,A339300,2020,12,50
H45,A339500,2020,3,0
H45,A339600,2020,3,9
H45,A339800,2020,9,45
H45,A339900,2020,3,21
H45,A340000,2020,3,15
H45,A340100,2020,9,25
H45,A340200,2020,3,6
H45,A340300,2020,3,6
H45,A340400,2020,3,20
H45,A340500,2020,0,18
H45,A340600,2020,12,130
H45,A340700,2020,3,18
H45,A340800,2020,6,60
H45,A341000,2020,0,0
H45,A341100,2020,39,350
H45,A341200,2020,9,85
H45,A341300,2020,9,12
H45,A341400,2020,3,9
H45,A341500,2020,12,150
H45,A341800,2020,9,110
H45,A341900,2020,6,6
H45,A342000,2020,9,21
H45,A342100,2020,0,0
H45,A342300,2020,0,0
H45,A342400,2020,0,30
H45,A342600,2020,0,0
H45,A342800,2020,6,40
H45,A343000,2020,6,3
H45,A343100,2020,9,25
H45,A343300,2020,6,15
H45,A343400,2020,0,15
H45,A343500,2020,0,25
H45,A343600,2020,9,80
H45,A343700,2020,3,3
H45,A343800,2020,0,0
H45,A343900,2020,6,50
H45,A344000,2020,9,12
H45,A344100,2020,0,9
H45,A344200,2020,6,18
H45,A344300,2020,0,9
H45,A344400,2020,24,330
H45,A344500,2020,3,0
H45,A344700,2020,3,35
H45,A344800,2020,9,80
H45,A344900,2020,21,170
H45,A345000,2020,6,40
H45,A345100,2020,9,35
H45,A345200,2020,3,0
H45,A345300,2020,3,30
H45,A345400,2020,9,55
H45,A345500,2020,15,120
H45,A345600,2020,6,30
H45,A345700,2020,9,25
H45,A345800,2020,6,30
H45,A345900,2020,3,9
H45,A346000,2020,6,20
H45,A346200,2020,6,210
H45,A346400,2020,0,21
H45,A346600,2020,18,140
H45,A346700,2020,6,50
H45,A346800,2020,6,45
H45,A346900,2020,6,90
H45,A347000,2020,39,570
H45,A347100,2020,0,0
H45,A347200,2020,6,30
H45,A347300,2020,0,25
H45,A347400,2020,9,21
H45,A347500,2020,0,6
H45,A347700,2020,6,70
H45,A347800,2020,6,25
H45,A347900,2020,21,260
H45,A348100,2020,111,1700
H45,A348200,2020,6,18
H45,A348300,2020,6,40
H45,A348400,2020,36,370
H45,A348500,2020,3,75
H45,A348600,2020,6,6
H45,A348700,2020,3,15
H45,A348800,2020,12,55
H45,A348900,2020,0,40
H45,A349000,2020,6,15
H45,A349100,2020,0,0
H45,A349200,2020,6,12
H45,A349300,2020,6,30
H45,A349400,2020,0,3
H45,A349600,2020,6,6
H45,A349700,2020,0,0
H45,A349800,2020,3,21
H45,A349900,2020,18,160
H45,A350000,2020,6,35
H45,A350100,2020,3,3
H45,A350200,2020,3,0
H45,A350300,2020,6,40
H45,A350500,2020,0,25
H45,A350600,2020,0,9
H45,A350700,2020,6,12
H45,A350900,2020,0,0
H45,A351000,2020,12,110
H45,A351100,2020,0,0
H45,A351200,2020,3,3
H45,A351300,2020,3,9
H45,A351400,2020,6,18
H45,A351500,2020,9,95
H45,A351600,2020,15,110
H45,A351700,2020,3,6
H45,A351800,2020,6,15
H45,A351900,2020,6,12
H45,A352000,2020,6,25
H45,A352100,2020,6,30
H45,A352200,2020,15,200
H45,A352300,2020,6,21
H45,A352400,2020,0,0
H45,A352500,2020,0,0
H45,A352600,2020,12,40
H45,A352700,2020,9,60
H45,A352800,2020,3,25
H45,A353000,2020,3,12
H45,A353100,2020,3,25
H45,A353200,2020,36,270
H45,A353300,2020,27,130
H45,A353400,2020,120,1100
H45,A353500,2020,0,9
H45,A353600,2020,6,9
H45,A353700,2020,6,45
H45,A353800,2020,6,15
H45,A353900,2020,0,6
H45,A354000,2020,3,30
H45,A354200,2020,12,120
H45,A354300,2020,27,310
H45,A354400,2020,0,0
H45,A354500,2020,3,18
H45,A354600,2020,3,3
H45,A354700,2020,0,0
H45,A354800,2020,9,120
H45,A354900,2020,6,15
H45,A355000,2020,6,30
H45,A355100,2020,6,30
H45,A355200,2020,3,35
H45,A355300,2020,0,0
H45,A355400,2020,3,6
H45,A355500,2020,3,3
H45,A355600,2020,3,6
H45,A355700,2020,6,12
H45,A355800,2020,6,15
H45,A355900,2020,9,25
H45,A356000,2020,0,3
H45,A356100,2020,3,6
H45,A356200,2020,0,25
H45,A356300,2020,6,45
H45,A356400,2020,9,30
H45,A356500,2020,15,110
H45,A356600,2020,0,18
H45,A356800,2020,3,6
H45,A357000,2020,0,12
H45,A357300,2020,6,15
H45,A357500,2020,21,310
H45,A357700,2020,0,21
H45,A357900,2020,9,35
H45,A358000,2020,0,0
H45,A358100,2020,3,15
H45,A358200,2020,6,21
H45,A358300,2020,3,6
H45,A358400,2020,9,30
H45,A358500,2020,0,0
H45,A358600,2020,9,70
H45,A358700,2020,0,0
H45,A358800,2020,9,60
H45,A358900,2020,3,3
H45,A359100,2020,3,25
H45,A359200,2020,0,0
H45,A359300,2020,6,55
H45,A359400,2020,3,6
H45,A359500,2020,6,25
H45,A359600,2020,0,6
H45,A359800,2020,3,3
H45,A359900,2020,6,18
H45,A360000,2020,3,18
H45,A360100,2020,24,300
H45,A360300,2020,3,12
H45,A360400,2020,6,12
H45,A360500,2020,0,40
H45,A360600,2020,6,65
H45,A360700,2020,6,40
H45,A360800,2020,3,9
H45,A360900,2020,0,3
H45,A361000,2020,60,690
H45,A361100,2020,3,6
H45,A361200,2020,6,3
H45,A361300,2020,9,95
H45,A361500,2020,6,90
H45,A361600,2020,6,15
H45,A361700,2020,6,30
H45,A361900,2020,0,9
H45,A362000,2020,0,9
H45,A362100,2020,6,140
H45,A362200,2020,3,9
H45,A362400,2020,6,18
H45,A362500,2020,6,12
H45,A362600,2020,3,21
H45,A362800,2020,3,0
H45,A362900,2020,0,30
H45,A363000,2020,0,12
H45,A363100,2020,3,3
H45,A363300,2020,6,30
H45,C07601,2020,222,1500
H45,C07602,2020,336,1850
H45,C07603,2020,462,2400
H45,C07604,2020,375,1900
H45,C07605,2020,327,2050
H45,C07606,2020,420,2200
H45,C07607,2020,132,700
H45,C07608,2020,3,18
H45,C07609,2020,57,420
H45,C07610,2020,1392,13400
H45,C07611,2020,318,1800
H45,C07612,2020,561,3900
H45,C07613,2020,219,960
H45,C07614,2020,306,1950
H45,C07615,2020,348,5200
H45,C07616,2020,747,3850
H45,C07617,2020,195,2600
H45,C07618,2020,285,1650
H45,C07619,2020,180,1100
H45,C07620,2020,168,1100
H45,C07621,2020,213,1550
H45,CTotal,2020,7263,52200
H45,R01,2020,552,3450
H45,R02,2020,7263,52200
H45,R03,2020,1596,11700
H45,R04,2020,1092,7900
H45,R05,2020,138,960
H45,R06,2020,537,4250
H45,R07,2020,372,3000
H45,R08,2020,795,5200
H45,R09,2020,1977,16500
H45,R12,2020,129,850
H45,R13,2020,2343,17100
H45,R14,2020,1014,8900
H45,R15,2020,282,2450
H45,R16,2020,183,1450
H45,R17,2020,207,1550
H45,R18,2020,165,1350
H45,R99,2020,6,3
H45,RTotal,2020,18648,138700
H45,T001,2020,219,1200
H45,T002,2020,261,1950
H45,T003,2020,69,310
H45,T011,2020,177,1250
H45,T012,2020,75,390
H45,T013,2020,141,860
H45,T015,2020,96,620
H45,T016,2020,663,5200
H45,T017,2020,159,1200
H45,T018,2020,21,120
H45,T019,2020,72,370
H45,T020,2020,30,230
H45,T021,2020,162,1450
H45,T022,2020,111,650
H45,T023,2020,576,4500
H45,T024,2020,267,2000
H45,T025,2020,105,650
H45,T026,2020,12,45
H45,T027,2020,21,110
H45,T028,2020,138,960
H45,T029,2020,24,100
H45,T030,2020,249,2050
H45,T031,2020,231,2000
H45,T032,2020,30,100
H45,T033,2020,282,2550
H45,T034,2020,24,120
H45,T035,2020,66,330
H45,T036,2020,57,300
H45,T037,2020,150,1050
H45,T038,2020,57,320
H45,T039,2020,75,380
H45,T040,2020,321,2350
H45,T041,2020,51,280
H45,T042,2020,84,550
H45,T043,2020,162,1150
H45,T044,2020,138,1100
H45,T045,2020,96,770
H45,T046,2020,345,2400
H45,T047,2020,1071,9800
H45,T048,2020,78,750
H45,T049,2020,24,150
H45,T050,2020,57,350
H45,T051,2020,183,1450
H45,T052,2020,207,1550
H45,T053,2020,165,1350
H45,T054,2020,30,190
H45,T055,2020,51,220
H45,T056,2020,39,260
H45,T057,2020,39,370
H45,T058,2020,60,410
H45,T059,2020,117,870
H45,T060,2020,1704,12300
H45,T062,2020,138,1050
H45,T063,2020,90,820
H45,T064,2020,147,1000
H45,T065,2020,30,300
H45,T066,2020,12,70
H45,T067,2020,6,3
H45,T068,2020,78,620
H45,T069,2020,90,610
H45,T070,2020,324,3900
H45,T071,2020,483,3500
H45,T072,2020,48,290
H45,T073,2020,93,710
H45,T074,2020,36,370
H45,T075,2020,156,1350
H45,T076,2020,7263,52200
H45,TTotal,2020,18648,138700
H451,A100100,2020,6,9
H451,A100200,2020,3,6
H451,A100400,2020,0,0
H451,A100500,2020,3,3
H451,A100600,2020,0,6
H451,A100700,2020,15,95
H451,A100800,2020,6,30
H451,A101100,2020,9,65
H451,A101600,2020,0,0
H451,A101700,2020,3,3
H451,A101800,2020,0,9
H451,A101900,2020,6,6
H451,A102000,2020,0,12
H451,A102100,2020,6,15
H451,A102200,2020,3,65
H451,A102300,2020,0,0
H451,A102400,2020,0,9
H451,A102500,2020,3,30
H451,A102600,2020,3,6
H451,A102800,2020,6,25
H451,A102900,2020,6,12
H451,A103000,2020,27,230
H451,A103100,2020,6,30
H451,A103200,2020,3,6
H451,A103300,2020,3,6
H451,A103500,2020,12,65
H451,A103700,2020,3,6
H451,A103800,2020,15,95
H451,A103900,2020,24,110
H451,A104100,2020,3,9
H451,A104200,2020,3,0
H451,A104300,2020,6,21
H451,A104400,2020,3,3
H451,A104500,2020,0,0
H451,A104600,2020,9,30
H451,A104900,2020,0,25
H451,A105100,2020,3,9
H451,A105200,2020,0,0
H451,A105300,2020,3,0
H451,A105400,2020,6,9
H451,A105500,2020,3,12
H451,A105600,2020,6,20
H451,A105700,2020,0,18
H451,A105800,2020,6,6
H451,A105900,2020,9,150
H451,A106000,2020,6,30
H451,A106100,2020,9,35
H451,A106200,2020,3,18
H451,A106500,2020,3,3
H451,A106600,2020,15,60
H451,A106700,2020,0,0
H451,A106900,2020,9,30
H451,A107000,2020,6,60
H451,A107100,2020,78,830
H451,A107200,2020,3,0
H451,A107400,2020,3,0
H451,A107500,2020,6,3
H451,A107600,2020,6,18
H451,A107700,2020,0,9
H451,A107800,2020,3,3
H451,A107900,2020,9,80
H451,A108000,2020,0,0
H451,A108100,2020,6,6
H451,A108200,2020,3,3
H451,A108300,2020,6,30
H451,A108500,2020,6,15
H451,A108600,2020,3,6
H451,A108700,2020,0,30
H451,A108800,2020,6,25
H451,A108900,2020,3,6
H451,A109000,2020,6,110
H451,A109100,2020,0,0
H451,A109300,2020,24,80
H451,A109400,2020,6,12
H451,A109500,2020,0,3
H451,A109600,2020,3,3
H451,A109700,2020,6,12
H451,A109800,2020,0,9
H451,A109900,2020,12,70
H451,A110100,2020,6,30
H451,A110200,2020,6,15
H451,A110400,2020,6,60
H451,A110500,2020,15,70
H451,A110700,2020,6,6
H451,A110800,2020,0,0
H451,A110900,2020,15,160
H451,A111100,2020,3,50
H451,A111200,2020,6,40
H451,A111300,2020,21,95
H451,A111400,2020,3,55
H451,A111500,2020,9,60
H451,A111600,2020,0,0
H451,A111700,2020,9,50
H451,A111800,2020,3,18
H451,A111900,2020,0,6
H451,A112100,2020,3,3
H451,A112200,2020,6,25
H451,A112300,2020,0,0
H451,A112400,2020,6,35
H451,A112500,2020,3,9
H451,A112600,2020,0,0
H451,A112700,2020,6,25
H451,A112800,2020,0,3
H451,A112900,2020,3,6
H451,A113000,2020,36,240
H451,A113100,2020,6,15
H451,A113200,2020,3,0
H451,A113300,2020,15,70
H451,A113400,2020,6,60
H451,A113500,2020,0,3
H451,A113600,2020,6,35
H451,A113800,2020,15,110
H451,A113900,2020,3,12
H451,A114000,2020,6,35
H451,A114100,2020,3,6
H451,A114200,2020,6,3
H451,A114300,2020,3,3
H451,A114400,2020,6,0
H451,A114500,2020,6,35
H451,A114600,2020,6,30
H451,A114700,2020,3,40
H451,A114800,2020,0,0
H451,A114900,2020,18,130
H451,A115000,2020,27,100
H451,A115100,2020,0,12
H451,A115200,2020,0,3
H451,A115300,2020,3,6
H451,A115400,2020,0,0
H451,A115500,2020,6,65
H451,A115700,2020,9,35
H451,A115800,2020,12,120
H451,A115900,2020,6,60
H451,A116000,2020,0,0
H451,A116100,2020,9,120
H451,A116200,2020,9,85
H451,A116400,2020,6,30
H451,A116500,2020,6,30
H451,A116600,2020,0,18
H451,A116700,2020,21,50
H451,A116800,2020,6,18
H451,A116900,2020,33,120
H451,A117000,2020,9,55
H451,A117100,2020,0,12
H451,A117200,2020,12,75
H451,A117300,2020,72,720
H451,A117400,2020,6,25
H451,A117500,2020,3,0
H451,A117600,2020,15,30
H451,A117700,2020,6,18
H451,A117800,2020,12,30
H451,A117900,2020,3,12
H451,A118000,2020,0,3
H451,A118100,2020,21,65
H451,A118200,2020,9,9
H451,A118300,2020,36,270
H451,A118400,2020,21,85
H451,A118500,2020,30,110
H451,A118600,2020,108,520
H451,A118700,2020,12,50
H451,A118800,2020,27,350
H451,A118900,2020,6,25
H451,A119000,2020,12,55
H451,A119100,2020,9,35
H451,A119200,2020,6,40
H451,A119400,2020,9,50
H451,A119500,2020,6,18
H451,A119600,2020,3,6
H451,A119700,2020,9,80
H451,A119800,2020,3,0
H451,A119900,2020,3,6
H451,A120000,2020,6,25
H451,A120100,2020,0,6
H451,A120200,2020,6,30
H451,A120300,2020,18,65
H451,A120400,2020,9,25
H451,A120500,2020,18,110
H451,A120600,2020,6,21
H451,A120700,2020,12,55
H451,A120800,2020,3,9
H451,A120900,2020,9,50
H451,A121000,2020,12,35
H451,A121100,2020,6,0
H451,A121200,2020,9,15
H451,A121300,2020,12,30
H451,A121400,2020,6,18
H451,A121500,2020,6,35
H451,A121600,2020,6,21
H451,A121700,2020,0,3
H451,A121800,2020,6,25
H451,A121900,2020,6,25
H451,A122000,2020,6,18
H451,A122100,2020,9,18
H451,A122200,2020,3,30
H451,A122300,2020,3,9
H451,A122400,2020,0,6
H451,A122500,2020,3,18
H451,A122600,2020,15,85
H451,A122700,2020,21,65
H451,A122800,2020,6,25
H451,A122900,2020,6,12
H451,A123000,2020,0,6
H451,A123100,2020,9,65
H451,A123200,2020,6,35
H451,A123300,2020,9,30
H451,A123400,2020,15,60
H451,A123500,2020,51,340
H451,A123600,2020,9,45
H451,A123700,2020,6,70
H451,A123800,2020,6,9
H451,A123900,2020,6,21
H451,A124000,2020,24,100
H451,A124100,2020,3,35
H451,A124200,2020,6,6
H451,A124300,2020,9,9
H451,A124400,2020,9,15
H451,A124500,2020,21,90
H451,A124600,2020,9,15
H451,A124700,2020,6,12
H451,A124800,2020,6,15
H451,A124900,2020,6,25
H451,A125000,2020,3,21
H451,A125100,2020,54,590
H451,A125200,2020,12,35
H451,A125300,2020,12,45
H451,A125400,2020,12,55
H451,A125500,2020,15,65
H451,A125600,2020,18,90
H451,A125700,2020,12,25
H451,A125800,2020,6,18
H451,A125900,2020,30,210
H451,A126000,2020,6,12
H451,A126100,2020,9,50
H451,A126200,2020,9,30
H451,A126300,2020,18,100
H451,A126400,2020,9,65
H451,A126500,2020,6,3
H451,A126600,2020,33,220
H451,A126700,2020,6,6
H451,A126800,2020,78,690
H451,A126900,2020,24,55
H451,A127000,2020,18,65
H451,A127100,2020,18,50
H451,A127200,2020,3,130
H451,A127300,2020,9,60
H451,A127400,2020,54,270
H451,A127500,2020,51,310
H451,A127600,2020,3,9
H451,A127700,2020,9,18
H451,A127800,2020,6,0
H451,A127900,2020,6,9
H451,A128000,2020,3,18
H451,A128100,2020,6,21
H451,A128200,2020,6,70
H451,A128300,2020,9,6
H451,A128400,2020,9,9
H451,A128500,2020,9,21
H451,A128600,2020,3,3
H451,A128700,2020,9,18
H451,A128800,2020,9,15
H451,A128900,2020,15,18
H451,A129000,2020,6,12
H451,A129100,2020,6,9
H451,A129200,2020,6,18
H451,A129300,2020,3,15
H451,A129400,2020,3,35
H451,A129500,2020,6,85
H451,A129600,2020,12,20
H451,A129700,2020,12,65
H451,A129800,2020,6,65
H451,A129900,2020,27,120
H451,A130000,2020,3,15
H451,A130100,2020,9,21
H451,A130200,2020,6,85
H451,A130300,2020,0,9
H451,A130400,2020,18,95
H451,A130500,2020,6,15
H451,A130600,2020,9,21
H451,A130700,2020,12,15
H451,A130800,2020,12,45
H451,A130900,2020,9,25
H451,A131000,2020,15,110
H451,A131100,2020,6,35
H451,A131200,2020,36,340
H451,A131300,2020,57,880
H451,A131400,2020,3,6
H451,A131500,2020,21,100
H451,A131600,2020,21,460
H451,A131700,2020,12,75
H451,A131800,2020,24,260
H451,A131900,2020,6,35
H451,A132000,2020,12,40
H451,A132100,2020,18,170
H451,A132200,2020,12,40
H451,A132300,2020,9,25
H451,A132400,2020,36,180
H451,A132600,2020,9,21
H451,A132700,2020,81,1050
H451,A132800,2020,12,55
H451,A132900,2020,12,55
H451,A133000,2020,36,180
H451,A133100,2020,21,85
H451,A133200,2020,138,1050
H451,A133300,2020,72,1150
H451,A133400,2020,15,95
H451,A133500,2020,66,710
H451,A133600,2020,21,180
H451,A133700,2020,72,500
H451,A133800,2020,9,18
H451,A133900,2020,54,590
H451,A134000,2020,6,45
H451,A134100,2020,48,990
H451,A134200,2020,12,45
H451,A134300,2020,48,200
H451,A134400,2020,33,160
H451,A134500,2020,27,95
H451,A134600,2020,6,12
H451,A134700,2020,15,40
H451,A134800,2020,15,320
H451,A134900,2020,6,12
H451,A135000,2020,15,80
H451,A135100,2020,39,210
H451,A135200,2020,18,45
H451,A135300,2020,39,120
H451,A135400,2020,6,25
H451,A135500,2020,6,21
H451,A135600,2020,12,95
H451,A135700,2020,3,3
H451,A135800,2020,30,180
H451,A135900,2020,3,12
H451,A136000,2020,48,310
H451,A136100,2020,18,150
H451,A136200,2020,6,20
H451,A136300,2020,6,30
H451,A136400,2020,72,520
H451,A136500,2020,6,55
H451,A136600,2020,3,9
H451,A136700,2020,12,85
H451,A136800,2020,6,0
H451,A136900,2020,30,200
H451,A137000,2020,18,200
H451,A137100,2020,9,18
H451,A137200,2020,18,40
H451,A137300,2020,6,3
H451,A137400,2020,12,100
H451,A137500,2020,3,0
H451,A137600,2020,9,35
H451,A137700,2020,9,95
H451,A137800,2020,6,6
H451,A137900,2020,18,70
H451,A138000,2020,6,35
H451,A138100,2020,39,400
H451,A138200,2020,12,60
H451,A138300,2020,15,35
H451,A138400,2020,9,25
H451,A138500,2020,147,1300
H451,A138600,2020,6,35
H451,A138700,2020,15,50
H451,A138800,2020,9,80
H451,A138900,2020,15,25
H451,A139000,2020,33,390
H451,A139100,2020,6,30
H451,A139200,2020,6,45
H451,A139300,2020,21,120
H451,A139400,2020,3,40
H451,A139500,2020,3,25
H451,A139600,2020,6,35
H451,A139700,2020,30,180
H451,A139800,2020,18,45
H451,A139900,2020,12,55
H451,A140000,2020,9,18
H451,A140100,2020,6,40
H451,A140200,2020,24,190
H451,A140300,2020,33,140
H451,A140400,2020,12,30
H451,A140500,2020,12,85
H451,A140600,2020,3,3
H451,A140700,2020,3,15
H451,A140800,2020,18,110
H451,A140900,2020,12,70
H451,A141000,2020,18,80
H451,A141100,2020,27,260
H451,A141200,2020,9,75
H451,A141300,2020,6,30
H451,A141500,2020,18,280
H451,A141600,2020,3,9
H451,A141700,2020,3,0
H451,A141800,2020,21,110
H451,A141900,2020,6,35
H451,A142000,2020,18,70
H451,A142100,2020,21,75
H451,A142200,2020,24,250
H451,A142300,2020,9,15
H451,A142400,2020,6,60
H451,A142500,2020,9,3
H451,A142600,2020,9,50
H451,A142700,2020,9,9
H451,A142800,2020,18,60
H451,A142900,2020,9,60
H451,A143000,2020,21,250
H451,A143100,2020,15,55
H451,A143200,2020,3,9
H451,A143300,2020,9,70
H451,A143400,2020,27,240
H451,A143500,2020,6,35
H451,A143600,2020,6,12
H451,A143700,2020,15,45
H451,A143800,2020,12,35
H451,A143900,2020,3,12
H451,A144000,2020,12,50
H451,A144100,2020,9,40
H451,A144200,2020,30,3250
H451,A144300,2020,9,40
H451,A144400,2020,6,21
H451,A144500,2020,3,55
H451,A144600,2020,18,150
H451,A144700,2020,9,25
H451,A144800,2020,9,25
H451,A144900,2020,12,100
H451,A145000,2020,33,170
H451,A145100,2020,6,35
H451,A145200,2020,3,3
H451,A145300,2020,12,25
H451,A145400,2020,27,200
H451,A145500,2020,12,60
H451,A145600,2020,3,15
H451,A145700,2020,6,80
H451,A145800,2020,6,21
H451,A145900,2020,39,180
H451,A146000,2020,6,40
H451,A146100,2020,0,3
H451,A146200,2020,6,30
H451,A146400,2020,9,60
H451,A146500,2020,6,12
H451,A146600,2020,6,12
H451,A146700,2020,21,180
H451,A146800,2020,12,60
H451,A146900,2020,3,0
H451,A147000,2020,3,0
H451,A147100,2020,9,30
H451,A147200,2020,21,65
H451,A147400,2020,24,400
H451,A147500,2020,0,3
H451,A147600,2020,6,60
H451,A147700,2020,6,40
H451,A147800,2020,12,130
H451,A147900,2020,42,1600
H451,A148000,2020,6,12
H451,A148100,2020,12,25
H451,A148200,2020,0,9
H451,A148300,2020,6,21
H451,A148400,2020,9,30
H451,A148600,2020,0,3
H451,A148700,2020,12,25
H451,A148800,2020,6,21
H451,A148900,2020,3,12
H451,A149000,2020,15,45
H451,A149100,2020,6,15
H451,A149200,2020,9,40
H451,A149300,2020,15,140
H451,A149400,2020,6,12
H451,A149500,2020,3,3
H451,A149600,2020,3,70
H451,A149700,2020,15,35
H451,A149800,2020,15,80
H451,A149900,2020,6,75
H451,A150000,2020,3,3
H451,A150100,2020,33,250
H451,A150200,2020,18,240
H451,A150300,2020,6,30
H451,A150400,2020,3,25
H451,A150500,2020,15,35
H451,A150600,2020,9,30
H451,A150700,2020,18,65
H451,A150800,2020,3,3
H451,A150900,2020,3,0
H451,A151000,2020,3,6
H451,A151100,2020,6,130
H451,A151200,2020,3,0
H451,A151300,2020,30,190
H451,A151400,2020,9,25
H451,A151500,2020,12,21
H451,A151600,2020,6,6
H451,A151700,2020,3,6
H451,A151800,2020,9,25
H451,A151900,2020,0,0
H451,A152000,2020,3,0
H451,A152100,2020,6,60
H451,A152200,2020,6,12
H451,A152300,2020,42,330
H451,A152400,2020,24,230
H451,A152500,2020,3,20
H451,A152600,2020,0,3
H451,A152700,2020,0,3
H451,A152800,2020,0,0
H451,A152900,2020,9,25
H451,A153000,2020,0,18
H451,A153100,2020,9,15
H451,A153200,2020,3,9
H451,A153300,2020,3,0
H451,A153400,2020,12,55
H451,A153500,2020,0,3
H451,A153600,2020,3,0
H451,A153700,2020,12,55
H451,A153800,2020,33,110
H451,A153900,2020,15,35
H451,A154000,2020,6,12
H451,A154100,2020,15,35
H451,A154200,2020,6,9
H451,A154300,2020,0,0
H451,A154400,2020,12,80
H451,A154500,2020,9,30
H451,A154600,2020,33,490
H451,A154700,2020,12,30
H451,A154800,2020,6,21
H451,A154900,2020,42,260
H451,A155000,2020,6,18
H451,A155200,2020,15,30
H451,A155300,2020,6,30
H451,A155400,2020,9,9
H451,A155500,2020,66,740
H451,A155600,2020,12,21
H451,A155700,2020,3,25
H451,A155800,2020,6,0
H451,A155900,2020,6,25
H451,A156000,2020,12,75
H451,A156100,2020,15,40
H451,A156200,2020,9,25
H451,A156300,2020,15,40
H451,A156400,2020,12,65
H451,A156500,2020,12,25
H451,A156600,2020,24,130
H451,A156700,2020,9,50
H451,A156800,2020,0,3
H451,A156900,2020,24,90
H451,A157000,2020,6,40
H451,A157100,2020,9,50
H451,A157200,2020,6,6
H451,A157300,2020,15,80
H451,A157400,2020,6,18
H451,A157500,2020,36,150
H451,A157600,2020,6,320
H451,A157700,2020,3,6
H451,A157800,2020,27,150
H451,A157900,2020,12,20
H451,A158000,2020,21,50
H451,A158100,2020,27,150
H451,A158200,2020,27,90
H451,A158300,2020,9,21
H451,A158400,2020,9,85
H451,A158500,2020,18,35
H451,A158600,2020,9,9
H451,A158700,2020,0,6
H451,A158800,2020,0,6
