anzsic06,Area,year,geo_count,ec_count
G392,A334800,2018,0,9
G392,A335600,2018,0,0
G392,A336000,2018,0,0
G392,A336200,2018,0,3
G392,A337200,2018,3,0
G392,A337800,2018,3,3
G392,A337900,2018,3,0
G392,A338000,2018,0,40
G392,A338300,2018,3,15
G392,A338900,2018,3,6
G392,A339300,2018,0,6
G392,A339400,2018,0,0
G392,A339800,2018,3,25
G392,A339900,2018,0,0
G392,A340600,2018,0,9
G392,A341100,2018,3,18
G392,A341300,2018,3,3
G392,A343600,2018,0,3
G392,A343700,2018,3,0
G392,A343900,2018,0,6
G392,A344000,2018,6,6
G392,A344100,2018,3,9
G392,A344400,2018,0,15
G392,A344900,2018,3,9
G392,A345100,2018,0,0
G392,A345500,2018,3,30
G392,A346200,2018,3,3
G392,A346600,2018,0,0
G392,A346700,2018,0,6
G392,A347000,2018,0,0
G392,A347700,2018,0,25
G392,A347800,2018,3,3
G392,A348400,2018,6,6
G392,A348800,2018,3,0
G392,A349700,2018,3,0
G392,A349900,2018,0,12
G392,A351400,2018,3,9
G392,A353400,2018,6,40
G392,A353600,2018,3,0
G392,A353700,2018,3,18
G392,A354300,2018,6,50
G392,A355500,2018,0,0
G392,A355700,2018,3,0
G392,A356200,2018,0,0
G392,A356500,2018,0,3
G392,A360100,2018,6,25
G392,A360300,2018,0,3
G392,A360600,2018,3,6
G392,A361000,2018,12,75
G392,A361100,2018,3,18
G392,A362300,2018,3,0
G392,C07601,2018,9,35
G392,C07602,2018,21,70
G392,C07603,2018,18,80
G392,C07604,2018,33,120
G392,C07605,2018,6,25
G392,C07606,2018,27,130
G392,C07607,2018,9,25
G392,C07608,2018,3,0
G392,C07610,2018,15,55
G392,C07611,2018,30,90
G392,C07612,2018,18,35
G392,C07613,2018,6,120
G392,C07614,2018,6,3
G392,C07615,2018,48,220
G392,C07616,2018,30,110
G392,C07617,2018,15,100
G392,C07618,2018,21,120
G392,C07619,2018,15,60
G392,C07620,2018,12,65
G392,C07621,2018,30,75
G392,CTotal,2018,378,1550
G392,R01,2018,51,190
G392,R02,2018,378,1550
G392,R03,2018,120,500
G392,R04,2018,99,430
G392,R05,2018,12,55
G392,R06,2018,39,180
G392,R07,2018,30,130
G392,R08,2018,63,250
G392,R09,2018,90,410
G392,R12,2018,12,40
G392,R13,2018,126,670
G392,R14,2018,54,250
G392,R15,2018,21,130
G392,R16,2018,12,80
G392,R17,2018,18,70
G392,R18,2018,12,60
G392,RTotal,2018,1140,4950
G392,T001,2018,18,60
G392,T002,2018,27,120
G392,T003,2018,6,6
G392,T011,2018,9,20
G392,T012,2018,9,18
G392,T013,2018,9,35
G392,T015,2018,12,55
G392,T016,2018,45,200
G392,T017,2018,12,55
G392,T018,2018,6,15
G392,T019,2018,6,30
G392,T020,2018,6,12
G392,T021,2018,12,50
G392,T022,2018,15,40
G392,T023,2018,51,240
G392,T024,2018,24,100
G392,T025,2018,9,40
G392,T026,2018,3,6
G392,T027,2018,0,9
G392,T028,2018,12,55
G392,T029,2018,3,6
G392,T030,2018,15,95
G392,T031,2018,21,65
G392,T032,2018,6,15
G392,T033,2018,21,85
G392,T034,2018,3,15
G392,T035,2018,9,30
G392,T036,2018,3,15
G392,T037,2018,9,40
G392,T038,2018,6,9
G392,T039,2018,6,15
G392,T040,2018,27,130
G392,T041,2018,6,12
G392,T042,2018,3,30
G392,T043,2018,12,35
G392,T044,2018,6,40
G392,T045,2018,9,40
G392,T046,2018,30,150
G392,T047,2018,27,100
G392,T048,2018,6,40
G392,T051,2018,12,80
G392,T052,2018,18,70
G392,T053,2018,12,60
G392,T055,2018,6,9
G392,T056,2018,6,30
G392,T058,2018,0,6
G392,T059,2018,12,55
G392,T060,2018,87,460
G392,T062,2018,6,21
G392,T063,2018,6,60
G392,T064,2018,15,65
G392,T068,2018,9,40
G392,T069,2018,6,40
G392,T070,2018,12,40
G392,T071,2018,24,130
G392,T072,2018,3,3
G392,T074,2018,6,30
G392,T075,2018,18,100
G392,T076,2018,378,1550
G392,TTotal,2018,1140,4950
G40,A100100,2018,3,0
G40,A100200,2018,0,15
G40,A100700,2018,3,12
G40,A100800,2018,0,9
G40,A101100,2018,3,12
G40,A101900,2018,3,0
G40,A102100,2018,0,3
G40,A102300,2018,0,0
G40,A102500,2018,6,25
G40,A102900,2018,0,9
G40,A103000,2018,3,30
G40,A103500,2018,0,21
G40,A103800,2018,3,0
G40,A103900,2018,3,9
G40,A104500,2018,3,9
G40,A104600,2018,3,9
G40,A104900,2018,0,12
G40,A105300,2018,3,0
G40,A105400,2018,0,12
G40,A105900,2018,3,0
G40,A106000,2018,0,9
G40,A106200,2018,0,0
G40,A106600,2018,3,9
G40,A106900,2018,0,0
G40,A107000,2018,3,25
G40,A107100,2018,3,30
G40,A107200,2018,0,15
G40,A107600,2018,0,3
G40,A107800,2018,3,6
G40,A107900,2018,0,0
G40,A108500,2018,0,6
G40,A108600,2018,3,25
G40,A109000,2018,3,6
G40,A109100,2018,3,0
G40,A109300,2018,6,30
G40,A109400,2018,3,3
G40,A109600,2018,3,25
G40,A109700,2018,3,0
G40,A109900,2018,0,0
G40,A110100,2018,3,12
G40,A110200,2018,0,3
G40,A110500,2018,3,9
G40,A110900,2018,3,9
G40,A111100,2018,0,0
G40,A111300,2018,0,25
G40,A111700,2018,3,9
G40,A111800,2018,6,3
G40,A112400,2018,3,12
G40,A112500,2018,3,3
G40,A112600,2018,0,0
G40,A112700,2018,0,3
G40,A113000,2018,3,15
G40,A113300,2018,3,55
G40,A113400,2018,0,0
G40,A113500,2018,0,9
G40,A113800,2018,0,18
G40,A113900,2018,0,0
G40,A114000,2018,0,0
G40,A114200,2018,0,6
G40,A114700,2018,3,0
G40,A114800,2018,3,0
G40,A114900,2018,0,25
G40,A115000,2018,3,18
G40,A115800,2018,0,6
G40,A115900,2018,0,6
G40,A116100,2018,3,6
G40,A116900,2018,3,9
G40,A117000,2018,0,3
G40,A117200,2018,0,3
G40,A117300,2018,6,35
G40,A117700,2018,0,12
G40,A118300,2018,0,9
G40,A118500,2018,3,9
G40,A118600,2018,6,70
G40,A118800,2018,3,12
G40,A120500,2018,0,9
G40,A120600,2018,3,0
G40,A120900,2018,0,21
G40,A121000,2018,0,0
G40,A121500,2018,0,9
G40,A121600,2018,0,0
G40,A122000,2018,0,15
G40,A122400,2018,0,6
G40,A122600,2018,3,15
G40,A122800,2018,0,3
G40,A123500,2018,6,25
G40,A123700,2018,3,6
G40,A124300,2018,0,25
G40,A124400,2018,3,0
G40,A124800,2018,0,6
G40,A125100,2018,6,21
G40,A125200,2018,3,0
G40,A125300,2018,3,12
G40,A125600,2018,6,9
G40,A125700,2018,3,0
G40,A125800,2018,3,15
G40,A125900,2018,0,3
G40,A126100,2018,0,0
G40,A126300,2018,0,18
G40,A126600,2018,6,18
G40,A126700,2018,0,0
G40,A126900,2018,3,0
G40,A127000,2018,0,9
G40,A127200,2018,0,18
G40,A127300,2018,3,15
G40,A127500,2018,6,20
G40,A127900,2018,0,21
G40,A128300,2018,0,0
G40,A128400,2018,3,0
G40,A128700,2018,3,15
G40,A128800,2018,0,21
G40,A129900,2018,0,9
G40,A130100,2018,0,6
G40,A130200,2018,3,3
G40,A130300,2018,0,6
G40,A131000,2018,0,0
G40,A131100,2018,0,12
G40,A131200,2018,0,25
G40,A131300,2018,3,3
G40,A131500,2018,0,9
G40,A131700,2018,0,9
G40,A132400,2018,0,12
G40,A132600,2018,0,0
G40,A132800,2018,3,9
G40,A133100,2018,0,3
G40,A133300,2018,0,9
G40,A133500,2018,0,9
G40,A133900,2018,6,45
G40,A134200,2018,3,12
G40,A134300,2018,0,0
G40,A134400,2018,3,6
G40,A134700,2018,0,0
G40,A135000,2018,3,3
G40,A135200,2018,0,18
G40,A135600,2018,0,0
G40,A135700,2018,0,12
G40,A135800,2018,3,0
G40,A136000,2018,3,21
G40,A136200,2018,0,0
G40,A136300,2018,0,18
G40,A136400,2018,3,12
G40,A137100,2018,0,6
G40,A137400,2018,0,0
G40,A137700,2018,3,0
G40,A137900,2018,0,12
G40,A138000,2018,0,9
G40,A138100,2018,0,3
G40,A138500,2018,3,35
G40,A138800,2018,0,0
G40,A138900,2018,3,6
G40,A139000,2018,0,0
G40,A139200,2018,0,0
G40,A139300,2018,0,0
G40,A139600,2018,0,6
G40,A139700,2018,3,6
G40,A139800,2018,0,3
G40,A140100,2018,3,12
G40,A140200,2018,3,18
G40,A140300,2018,3,3
G40,A140900,2018,3,0
G40,A141000,2018,3,25
G40,A141500,2018,3,9
G40,A141600,2018,0,0
G40,A142000,2018,3,6
G40,A142100,2018,3,9
G40,A142200,2018,3,35
G40,A142400,2018,0,3
G40,A142500,2018,3,9
G40,A142800,2018,0,15
G40,A143100,2018,3,0
G40,A143400,2018,0,18
G40,A143500,2018,0,3
G40,A144200,2018,0,12
G40,A144600,2018,0,15
G40,A144700,2018,3,0
G40,A144800,2018,0,0
G40,A145100,2018,0,0
G40,A145300,2018,3,25
G40,A145400,2018,0,12
G40,A145500,2018,6,25
G40,A145900,2018,3,9
G40,A146000,2018,3,9
G40,A146400,2018,0,3
G40,A146700,2018,0,0
G40,A146800,2018,0,3
G40,A146900,2018,0,0
G40,A147200,2018,0,0
G40,A147400,2018,0,6
G40,A147500,2018,0,21
G40,A147700,2018,0,12
G40,A147800,2018,0,0
G40,A147900,2018,3,21
G40,A148000,2018,0,3
G40,A148300,2018,0,0
G40,A148600,2018,0,0
G40,A148700,2018,0,12
G40,A148800,2018,0,9
G40,A149200,2018,3,20
G40,A149300,2018,0,9
G40,A149400,2018,0,0
G40,A149600,2018,3,9
G40,A149800,2018,3,6
G40,A149900,2018,3,0
G40,A150100,2018,3,18
G40,A150200,2018,6,9
G40,A150400,2018,3,9
G40,A150600,2018,0,3
G40,A150700,2018,0,6
G40,A151100,2018,0,9
G40,A151300,2018,0,0
G40,A151400,2018,0,9
G40,A152000,2018,0,12
G40,A152100,2018,0,12
G40,A152300,2018,6,35
G40,A152500,2018,0,0
G40,A152900,2018,3,9
G40,A153800,2018,0,3
G40,A154100,2018,3,9
G40,A154400,2018,0,0
G40,A154600,2018,0,6
G40,A154800,2018,0,0
G40,A154900,2018,3,0
G40,A155400,2018,0,15
G40,A155500,2018,3,50
G40,A155700,2018,0,9
G40,A155800,2018,0,0
G40,A155900,2018,0,3
G40,A156000,2018,3,35
G40,A156100,2018,6,12
G40,A156600,2018,0,9
G40,A157000,2018,3,9
G40,A157200,2018,3,12
G40,A157600,2018,6,50
G40,A158100,2018,3,25
G40,A158200,2018,0,6
G40,A158300,2018,3,0
G40,A158400,2018,0,0
G40,A158500,2018,0,0
G40,A159000,2018,3,0
G40,A159300,2018,0,3
G40,A159700,2018,0,0
G40,A159800,2018,3,6
G40,A159900,2018,0,15
G40,A160100,2018,0,12
G40,A160300,2018,0,0
G40,A160600,2018,3,12
G40,A160800,2018,0,12
G40,A160900,2018,0,6
G40,A161000,2018,0,6
G40,A161400,2018,0,12
G40,A161700,2018,0,21
G40,A161800,2018,0,9
G40,A162100,2018,0,3
G40,A162200,2018,0,0
G40,A162300,2018,0,3
G40,A162400,2018,3,9
G40,A162900,2018,0,6
G40,A163000,2018,3,12
G40,A163200,2018,0,12
G40,A163300,2018,0,15
G40,A163400,2018,0,0
G40,A163500,2018,3,6
G40,A163700,2018,3,55
G40,A164000,2018,6,0
G40,A164300,2018,3,0
G40,A164400,2018,3,6
G40,A164700,2018,3,12
G40,A165200,2018,0,0
G40,A165400,2018,0,3
G40,A165500,2018,0,9
G40,A166000,2018,6,45
G40,A166300,2018,3,35
G40,A166700,2018,0,3
G40,A167000,2018,0,0
G40,A167100,2018,3,15
G40,A167700,2018,3,20
G40,A167900,2018,0,15
G40,A168100,2018,3,9
G40,A168200,2018,0,3
G40,A168300,2018,0,0
G40,A168500,2018,3,12
G40,A168600,2018,3,3
G40,A168900,2018,3,9
G40,A169200,2018,3,30
G40,A169400,2018,0,0
G40,A169600,2018,3,20
G40,A169900,2018,0,0
G40,A170000,2018,0,3
G40,A170500,2018,0,3
G40,A170700,2018,0,0
G40,A170800,2018,3,0
G40,A170900,2018,3,3
G40,A171100,2018,3,3
G40,A171500,2018,6,25
G40,A171600,2018,0,9
G40,A171700,2018,3,0
G40,A171800,2018,0,0
G40,A172100,2018,6,40
G40,A172800,2018,0,6
G40,A173100,2018,3,3
G40,A173500,2018,0,3
G40,A173600,2018,0,0
G40,A173900,2018,3,6
G40,A174000,2018,6,50
G40,A174100,2018,3,12
G40,A174200,2018,0,0
G40,A174600,2018,3,3
G40,A174900,2018,3,40
G40,A175000,2018,3,0
G40,A175100,2018,0,0
G40,A175200,2018,3,18
G40,A175900,2018,0,25
G40,A176300,2018,3,30
G40,A176500,2018,0,3
G40,A176900,2018,0,3
G40,A177200,2018,3,0
G40,A177300,2018,0,3
G40,A178100,2018,0,12
G40,A178200,2018,3,18
G40,A178300,2018,0,9
G40,A178900,2018,6,45
G40,A179000,2018,3,25
G40,A179100,2018,0,3
G40,A179400,2018,3,25
G40,A179500,2018,3,15
G40,A179700,2018,3,0
G40,A180200,2018,3,30
G40,A180300,2018,0,0
G40,A180700,2018,0,18
G40,A181000,2018,3,25
G40,A181100,2018,0,3
G40,A181200,2018,0,0
G40,A181900,2018,0,0
G40,A182400,2018,3,0
G40,A182500,2018,0,15
G40,A183200,2018,3,45
G40,A183300,2018,3,9
G40,A183500,2018,0,9
G40,A183600,2018,0,9
G40,A184100,2018,0,0
G40,A184400,2018,0,12
G40,A185200,2018,3,12
G40,A185300,2018,0,0
G40,A185400,2018,0,0
G40,A185800,2018,3,21
G40,A186000,2018,3,21
G40,A186100,2018,0,0
G40,A186600,2018,0,9
G40,A186700,2018,0,21
G40,A187000,2018,0,0
G40,A187200,2018,3,9
G40,A187300,2018,6,35
G40,A187400,2018,0,0
G40,A187500,2018,3,3
G40,A187900,2018,3,18
G40,A188200,2018,0,25
G40,A188600,2018,3,35
G40,A188700,2018,3,9
G40,A188800,2018,3,0
G40,A189100,2018,3,12
G40,A189700,2018,0,6
G40,A190100,2018,0,3
G40,A190200,2018,0,0
G40,A190600,2018,0,18
G40,A190900,2018,0,0
G40,A191200,2018,0,12
G40,A191900,2018,3,3
G40,A192100,2018,0,15
G40,A192500,2018,0,9
G40,A193000,2018,3,15
G40,A193200,2018,0,9
G40,A193400,2018,3,0
G40,A193700,2018,0,0
G40,A193800,2018,0,0
G40,A193900,2018,6,9
G40,A194000,2018,0,12
G40,A194300,2018,0,25
G40,A194500,2018,3,90
G40,A194600,2018,0,15
G40,A194700,2018,3,12
G40,A194800,2018,3,21
G40,A195300,2018,0,0
G40,A195500,2018,0,12
G40,A195900,2018,0,6
G40,A196100,2018,3,6
G40,A196700,2018,0,0
G40,A196800,2018,3,3
G40,A197100,2018,0,15
G40,A197400,2018,0,0
G40,A197600,2018,0,0
G40,A198700,2018,0,0
G40,A199100,2018,3,12
G40,A199300,2018,3,50
G40,A200000,2018,0,6
