anzsic06,Area,year,geo_count,ec_count
P,A243600,2005,3,35
P,A243700,2005,6,75
P,A243800,2005,3,80
P,A244000,2005,6,80
P,A244100,2005,6,50
P,A244200,2005,6,35
P,A244300,2005,27,410
P,A244400,2005,6,55
P,A244500,2005,3,30
P,A244600,2005,6,120
P,A244700,2005,9,510
P,A244800,2005,9,480
P,A244900,2005,3,21
P,A245000,2005,6,6
P,A245100,2005,0,35
P,A245200,2005,6,230
P,A245400,2005,9,85
P,A245500,2005,6,55
P,A245600,2005,6,15
P,A245700,2005,3,45
P,A245800,2005,0,30
P,A245900,2005,0,0
P,A246000,2005,3,40
P,A246100,2005,3,510
P,A246200,2005,3,60
P,A246300,2005,3,6
P,A246400,2005,0,6
P,A246600,2005,6,20
P,A246700,2005,6,35
P,A246900,2005,6,180
P,A247000,2005,6,60
P,A247100,2005,6,40
P,A247200,2005,6,45
P,A247300,2005,6,30
P,A247400,2005,3,15
P,A247500,2005,0,6
P,A247600,2005,9,25
P,A247700,2005,9,50
P,A247800,2005,3,0
P,A247900,2005,18,260
P,A248000,2005,0,21
P,A248100,2005,3,6
P,A248300,2005,3,45
P,A248400,2005,3,35
P,A248600,2005,6,50
P,A248700,2005,3,160
P,A248800,2005,0,0
P,A248900,2005,9,35
P,A249000,2005,3,0
P,A249100,2005,3,25
P,A249200,2005,3,140
P,A249300,2005,3,25
P,A249400,2005,9,30
P,A249500,2005,6,95
P,A249600,2005,9,50
P,A249700,2005,6,3
P,A249900,2005,0,25
P,A250000,2005,9,12
P,A250100,2005,6,30
P,A250200,2005,6,12
P,A250300,2005,3,25
P,A250400,2005,6,30
P,A250500,2005,0,21
P,A250600,2005,12,460
P,A250700,2005,18,290
P,A250800,2005,3,40
P,A250900,2005,24,830
P,A251000,2005,0,35
P,A251100,2005,3,30
P,A251200,2005,6,18
P,A251300,2005,6,1650
P,A251400,2005,45,920
P,A251600,2005,30,200
P,A251700,2005,27,380
P,A251800,2005,12,150
P,A251900,2005,9,35
P,A252000,2005,3,9
P,A252100,2005,9,65
P,A252200,2005,6,6
P,A252300,2005,0,3
P,A252400,2005,9,840
P,A252500,2005,3,370
P,A252600,2005,3,18
P,A252700,2005,0,12
P,A252800,2005,3,35
P,A252900,2005,9,350
P,A253000,2005,9,65
P,A253100,2005,3,40
P,A253300,2005,3,35
P,A253400,2005,3,18
P,A253600,2005,6,21
P,A253700,2005,9,200
P,A253800,2005,3,3
P,A253900,2005,0,0
P,A254000,2005,3,110
P,A254100,2005,6,35
P,A254200,2005,3,100
P,A254300,2005,6,50
P,A254400,2005,6,35
P,A254600,2005,6,15
P,A254700,2005,3,15
P,A254800,2005,6,20
P,A254900,2005,3,30
P,A255000,2005,0,3
P,A255100,2005,6,110
P,A255200,2005,6,45
P,A255300,2005,3,15
P,A255400,2005,0,18
P,A255500,2005,3,120
P,A255600,2005,3,21
P,A255700,2005,6,110
P,A255800,2005,3,35
P,A255900,2005,6,80
P,A256000,2005,3,130
P,A256100,2005,3,80
P,A256200,2005,6,65
P,A256300,2005,3,15
P,A256400,2005,3,9
P,A256500,2005,0,25
P,A256600,2005,3,6
P,A256700,2005,6,130
P,A256800,2005,3,9
P,A256900,2005,6,55
P,A257000,2005,0,25
P,A257100,2005,6,45
P,A257200,2005,0,15
P,A257300,2005,0,0
P,A257400,2005,3,21
P,A257500,2005,6,30
P,A257700,2005,3,110
P,A257800,2005,3,12
P,A257900,2005,3,21
P,A300300,2005,3,35
P,A300500,2005,6,110
P,A300600,2005,0,18
P,A300700,2005,0,9
P,A300800,2005,3,50
P,A300900,2005,0,18
