anzsic06,Area,year,geo_count,ec_count
S949,A347000,2005,3,3
S949,A347700,2005,0,3
S949,A348200,2005,0,0
S949,A348800,2005,3,0
S949,A350500,2005,0,0
S949,A351000,2005,0,0
S949,A351100,2005,0,3
S949,A351400,2005,0,3
S949,A351600,2005,0,0
S949,A351900,2005,0,0
S949,A352200,2005,0,9
S949,A352300,2005,0,0
S949,A353200,2005,0,0
S949,A353400,2005,6,25
S949,A353700,2005,0,0
S949,A353800,2005,3,9
S949,A354300,2005,3,6
S949,A354400,2005,0,0
S949,A354900,2005,0,0
S949,A355800,2005,3,9
S949,A356000,2005,3,0
S949,A357500,2005,0,3
S949,A359000,2005,3,3
S949,A359500,2005,3,0
S949,A360100,2005,0,0
S949,A361000,2005,3,0
S949,A361500,2005,0,0
S949,A363000,2005,3,3
S949,A363100,2005,0,3
S949,C07601,2005,12,3
S949,C07602,2005,15,9
S949,C07603,2005,9,30
S949,C07604,2005,12,35
S949,C07605,2005,12,6
S949,C07606,2005,6,3
S949,C07607,2005,9,0
S949,C07610,2005,24,45
S949,C07611,2005,12,15
S949,C07612,2005,9,3
S949,C07613,2005,6,6
S949,C07614,2005,9,3
S949,C07615,2005,9,40
S949,C07616,2005,18,35
S949,C07617,2005,3,3
S949,C07618,2005,9,18
S949,C07619,2005,3,3
S949,C07620,2005,6,3
S949,C07621,2005,6,0
S949,CTotal,2005,180,260
S949,R01,2005,15,12
S949,R02,2005,180,260
S949,R03,2005,45,55
S949,R04,2005,33,40
S949,R05,2005,6,6
S949,R06,2005,12,15
S949,R07,2005,9,12
S949,R08,2005,27,50
S949,R09,2005,66,85
S949,R13,2005,87,90
S949,R14,2005,36,80
S949,R15,2005,9,12
S949,R16,2005,9,25
S949,R17,2005,6,0
S949,R18,2005,3,3
S949,RTotal,2005,543,740
S949,T001,2005,6,0
S949,T002,2005,12,12
S949,T003,2005,0,0
S949,T011,2005,6,3
S949,T012,2005,3,3
S949,T013,2005,0,3
S949,T015,2005,0,3
S949,T016,2005,24,30
S949,T017,2005,0,0
S949,T019,2005,0,0
S949,T020,2005,3,0
S949,T021,2005,6,6
S949,T022,2005,6,0
S949,T023,2005,18,30
S949,T024,2005,9,15
S949,T025,2005,3,0
S949,T028,2005,6,6
S949,T030,2005,6,9
S949,T031,2005,3,6
S949,T033,2005,6,6
S949,T034,2005,0,3
S949,T035,2005,6,3
S949,T036,2005,0,9
S949,T037,2005,6,3
S949,T038,2005,3,0
S949,T039,2005,0,0
S949,T040,2005,12,30
S949,T042,2005,3,9
S949,T043,2005,9,3
S949,T044,2005,0,9
S949,T045,2005,0,6
S949,T046,2005,15,25
S949,T047,2005,30,45
S949,T048,2005,6,0
S949,T049,2005,0,0
S949,T051,2005,9,25
S949,T052,2005,6,0
S949,T053,2005,3,3
S949,T059,2005,6,6
S949,T060,2005,66,75
S949,T062,2005,0,0
S949,T063,2005,6,3
S949,T064,2005,6,6
S949,T065,2005,0,0
S949,T068,2005,3,6
S949,T069,2005,3,6
S949,T070,2005,6,6
S949,T071,2005,24,50
S949,T072,2005,3,9
S949,T073,2005,3,6
S949,T074,2005,0,0
S949,T075,2005,3,6
S949,T076,2005,180,260
S949,TTotal,2005,543,740
S95,A100100,2005,3,3
S95,A100200,2005,6,0
S95,A100400,2005,0,0
S95,A100500,2005,3,6
S95,A100700,2005,30,120
S95,A100800,2005,3,9
S95,A101000,2005,3,0
S95,A101100,2005,9,35
S95,A101300,2005,0,0
S95,A101400,2005,3,0
S95,A101700,2005,3,0
S95,A101800,2005,3,0
S95,A101900,2005,6,15
S95,A102100,2005,3,0
S95,A102200,2005,6,3
S95,A102300,2005,0,0
S95,A102600,2005,3,0
S95,A102700,2005,0,0
S95,A102800,2005,3,3
S95,A102900,2005,0,6
S95,A103000,2005,21,15
S95,A103300,2005,0,0
S95,A103400,2005,3,0
S95,A103500,2005,15,50
S95,A103600,2005,3,3
S95,A103700,2005,0,3
S95,A103800,2005,0,0
S95,A103900,2005,6,6
S95,A104100,2005,0,0
S95,A104300,2005,3,0
S95,A104400,2005,3,0
S95,A104500,2005,6,40
S95,A104600,2005,6,9
S95,A104900,2005,0,0
S95,A105100,2005,0,0
S95,A105200,2005,3,12
S95,A105400,2005,3,9
S95,A105500,2005,0,0
S95,A105700,2005,3,6
S95,A105800,2005,3,3
S95,A105900,2005,3,3
S95,A106000,2005,3,15
S95,A106100,2005,6,18
S95,A106200,2005,0,0
S95,A106300,2005,0,0
S95,A106400,2005,3,18
S95,A106500,2005,3,3
S95,A106600,2005,15,70
S95,A106700,2005,3,0
S95,A106800,2005,6,6
S95,A106900,2005,3,3
S95,A107000,2005,6,9
S95,A107100,2005,66,400
S95,A107200,2005,0,0
S95,A107400,2005,3,3
S95,A107500,2005,3,15
S95,A107700,2005,3,0
S95,A107800,2005,6,3
S95,A107900,2005,0,21
S95,A108000,2005,3,3
S95,A108100,2005,0,3
S95,A108200,2005,3,0
S95,A108300,2005,6,9
S95,A108500,2005,3,0
S95,A108600,2005,0,9
S95,A108700,2005,3,3
S95,A108800,2005,6,12
S95,A108900,2005,0,3
S95,A109000,2005,0,0
S95,A109100,2005,3,0
S95,A109200,2005,3,0
S95,A109300,2005,21,35
S95,A109400,2005,0,0
S95,A109500,2005,3,0
S95,A109600,2005,6,3
S95,A109700,2005,3,0
S95,A109900,2005,3,3
S95,A110100,2005,3,0
S95,A110200,2005,3,0
S95,A110400,2005,3,0
S95,A110500,2005,12,12
S95,A110700,2005,0,0
S95,A110800,2005,3,0
S95,A110900,2005,6,6
S95,A111100,2005,3,3
S95,A111200,2005,3,0
S95,A111300,2005,18,40
S95,A111500,2005,3,0
S95,A111600,2005,3,3
S95,A111700,2005,6,6
S95,A111800,2005,0,25
S95,A111900,2005,6,3
S95,A112100,2005,0,3
S95,A112200,2005,3,0
S95,A112300,2005,0,0
S95,A112400,2005,9,9
S95,A112500,2005,0,0
S95,A112600,2005,3,0
S95,A112700,2005,0,6
S95,A112800,2005,0,9
S95,A112900,2005,0,6
S95,A113000,2005,24,60
S95,A113200,2005,0,0
S95,A113300,2005,0,0
S95,A113400,2005,3,9
S95,A113500,2005,6,6
S95,A113600,2005,0,0
S95,A113800,2005,6,6
S95,A113900,2005,3,9
S95,A114000,2005,6,6
S95,A114200,2005,3,0
S95,A114300,2005,3,3
S95,A114400,2005,6,9
S95,A114500,2005,3,0
S95,A114600,2005,6,150
S95,A114700,2005,3,9
S95,A114800,2005,3,3
S95,A114900,2005,9,35
S95,A115000,2005,9,12
S95,A115100,2005,6,3
S95,A115200,2005,6,3
S95,A115500,2005,6,9
S95,A115600,2005,0,0
S95,A115700,2005,3,3
S95,A115800,2005,6,21
S95,A115900,2005,3,3
S95,A116000,2005,0,0
S95,A116100,2005,3,9
S95,A116200,2005,0,6
S95,A116400,2005,3,0
S95,A116500,2005,0,0
S95,A116600,2005,3,9
S95,A116700,2005,3,3
S95,A116800,2005,9,18
S95,A117000,2005,6,9
S95,A117100,2005,3,0
S95,A117200,2005,15,6
S95,A117300,2005,12,50
S95,A117400,2005,0,9
S95,A117600,2005,3,65
S95,A117700,2005,0,0
S95,A117900,2005,3,12
S95,A118000,2005,3,9
S95,A118100,2005,9,3
S95,A118200,2005,3,9
S95,A118300,2005,21,75
S95,A118400,2005,3,12
S95,A118500,2005,3,0
S95,A118600,2005,39,150
S95,A118700,2005,3,0
S95,A118800,2005,3,9
S95,A118900,2005,6,3
S95,A119000,2005,3,12
S95,A119100,2005,3,3
S95,A119200,2005,0,0
S95,A119400,2005,0,6
S95,A119500,2005,3,15
S95,A119600,2005,3,12
S95,A119700,2005,3,25
S95,A119800,2005,9,9
S95,A119900,2005,3,3
S95,A120000,2005,3,6
S95,A120200,2005,0,0
S95,A120300,2005,3,3
S95,A120400,2005,3,12
S95,A120500,2005,15,25
S95,A120600,2005,3,3
S95,A120700,2005,6,3
S95,A120800,2005,3,0
S95,A120900,2005,3,9
S95,A121000,2005,6,9
S95,A121100,2005,6,12
S95,A121200,2005,6,15
S95,A121300,2005,9,18
S95,A121400,2005,0,15
S95,A121500,2005,6,0
S95,A121600,2005,6,18
S95,A121700,2005,3,6
S95,A121800,2005,9,15
S95,A121900,2005,3,0
S95,A122000,2005,3,3
S95,A122100,2005,6,3
S95,A122200,2005,6,12
S95,A122300,2005,6,3
S95,A122400,2005,6,12
S95,A122500,2005,0,0
S95,A122600,2005,6,6
S95,A122700,2005,3,12
S95,A122800,2005,9,15
S95,A122900,2005,0,0
S95,A123000,2005,3,3
S95,A123100,2005,6,12
S95,A123200,2005,3,9
S95,A123300,2005,3,0
S95,A123400,2005,3,12
S95,A123500,2005,18,40
S95,A123600,2005,3,3
S95,A123700,2005,3,3
S95,A123800,2005,3,9
S95,A124000,2005,12,75
S95,A124100,2005,3,0
S95,A124200,2005,0,0
S95,A124300,2005,3,3
S95,A124400,2005,6,12
S95,A124500,2005,9,21
S95,A124600,2005,0,9
S95,A124700,2005,3,0
S95,A124800,2005,9,3
S95,A124900,2005,9,12
S95,A125000,2005,0,0
S95,A125100,2005,12,80
S95,A125200,2005,6,3
S95,A125300,2005,0,0
S95,A125400,2005,6,0
S95,A125600,2005,6,3
S95,A125700,2005,6,15
S95,A125800,2005,0,0
S95,A125900,2005,21,75
S95,A126000,2005,3,0
S95,A126100,2005,3,3
S95,A126200,2005,3,15
S95,A126300,2005,9,12
S95,A126400,2005,9,15
S95,A126500,2005,6,21
S95,A126600,2005,33,90
S95,A126700,2005,3,6
S95,A126800,2005,57,250
S95,A126900,2005,0,9
S95,A127000,2005,3,3
S95,A127100,2005,15,35
S95,A127200,2005,9,21
S95,A127300,2005,6,15
S95,A127400,2005,21,55
S95,A127500,2005,33,130
S95,A127600,2005,3,0
S95,A127700,2005,0,3
S95,A127800,2005,0,0
S95,A127900,2005,0,9
S95,A128000,2005,3,0
S95,A128100,2005,0,0
S95,A128200,2005,9,6
S95,A128300,2005,3,0
S95,A128400,2005,3,6
S95,A128500,2005,0,9
S95,A128600,2005,6,6
S95,A128700,2005,6,50
S95,A128800,2005,6,3
S95,A128900,2005,6,21
S95,A129000,2005,0,18
S95,A129100,2005,3,12
S95,A129200,2005,6,6
S95,A129300,2005,6,12
S95,A129400,2005,3,3
S95,A129500,2005,3,30
S95,A129600,2005,3,3
S95,A129700,2005,6,3
S95,A129800,2005,3,0
S95,A129900,2005,12,25
S95,A130000,2005,0,0
S95,A130100,2005,3,3
S95,A130200,2005,18,200
S95,A130300,2005,3,3
S95,A130400,2005,12,12
S95,A130500,2005,0,9
S95,A130600,2005,6,0
S95,A130700,2005,9,18
S95,A130800,2005,6,260
S95,A130900,2005,9,9
S95,A131000,2005,6,3
S95,A131100,2005,0,0
S95,A131200,2005,21,100
S95,A131300,2005,9,15
S95,A131400,2005,3,12
S95,A131500,2005,12,30
S95,A131600,2005,15,25
S95,A131700,2005,0,0
S95,A131800,2005,42,100
S95,A131900,2005,0,310
S95,A132000,2005,6,3
S95,A132100,2005,9,6
S95,A132200,2005,6,25
S95,A132300,2005,0,9
S95,A132400,2005,18,35
S95,A132500,2005,3,3
S95,A132600,2005,3,6
S95,A132700,2005,24,190
S95,A132800,2005,15,110
S95,A132900,2005,0,0
S95,A133000,2005,12,40
S95,A133100,2005,12,9
S95,A133200,2005,72,170
S95,A133300,2005,21,95
S95,A133400,2005,6,18
S95,A133500,2005,42,220
S95,A133600,2005,9,25
S95,A133700,2005,39,150
S95,A133800,2005,12,25
S95,A133900,2005,33,120
S95,A134000,2005,0,3
S95,A134100,2005,27,100
S95,A134200,2005,9,18
S95,A134300,2005,24,90
S95,A134400,2005,15,210
S95,A134500,2005,15,55
S95,A134600,2005,0,3
S95,A134700,2005,6,20
S95,A134800,2005,12,45
S95,A134900,2005,0,3
S95,A135000,2005,9,12
S95,A135100,2005,9,21
S95,A135200,2005,9,6
S95,A135300,2005,9,15
S95,A135400,2005,9,18
S95,A135500,2005,3,0
S95,A135600,2005,3,0
S95,A135700,2005,6,9
S95,A135800,2005,9,85
S95,A135900,2005,9,30
S95,A136000,2005,60,340
S95,A136100,2005,9,35
S95,A136200,2005,6,30
S95,A136300,2005,3,3
S95,A136400,2005,48,590
S95,A136500,2005,6,0
S95,A136600,2005,0,3
S95,A136700,2005,3,3
S95,A136800,2005,0,0
S95,A136900,2005,21,140
S95,A137000,2005,9,12
S95,A137100,2005,0,0
S95,A137200,2005,3,0
S95,A137300,2005,0,0
S95,A137400,2005,12,9
S95,A137500,2005,0,3
S95,A137600,2005,0,3
S95,A137700,2005,6,30
S95,A137800,2005,9,9
S95,A137900,2005,3,45
S95,A138000,2005,9,12
S95,A138100,2005,24,60
S95,A138200,2005,9,6
S95,A138300,2005,9,6
S95,A138400,2005,6,30
S95,A138500,2005,84,330
S95,A138600,2005,3,0
S95,A138700,2005,6,9
S95,A138800,2005,0,3
S95,A138900,2005,15,30
S95,A139000,2005,21,40
S95,A139100,2005,3,0
S95,A139200,2005,6,35
S95,A139300,2005,15,18
S95,A139400,2005,12,35
S95,A139500,2005,3,9
S95,A139600,2005,3,3
S95,A139700,2005,9,21
S95,A139800,2005,6,18
