anzsic06,Area,year,geo_count,ec_count
M696,A231900,2010,3,9
M696,A232000,2010,9,9
M696,A232200,2010,3,0
M696,A232300,2010,6,3
M696,A232400,2010,3,9
M696,A232500,2010,6,0
M696,A232600,2010,6,12
M696,A232700,2010,15,0
M696,A232800,2010,0,0
M696,A233000,2010,3,0
M696,A233200,2010,3,0
M696,A233300,2010,6,3
M696,A233600,2010,3,0
M696,A233700,2010,6,3
M696,A234000,2010,0,0
M696,A234100,2010,0,0
M696,A234300,2010,0,0
M696,A234400,2010,6,3
M696,A234600,2010,0,25
M696,A234800,2010,3,0
M696,A234900,2010,3,0
M696,A235100,2010,3,0
M696,A235200,2010,3,0
M696,A235300,2010,3,3
M696,A235700,2010,3,0
M696,A236000,2010,0,3
M696,A236100,2010,3,0
M696,A236300,2010,0,0
M696,A236400,2010,0,0
M696,A236500,2010,6,6
M696,A236600,2010,6,0
M696,A236700,2010,3,3
M696,A236800,2010,18,0
M696,A236900,2010,6,3
M696,A237000,2010,9,0
M696,A237100,2010,9,0
M696,A237200,2010,15,0
M696,A237300,2010,12,6
M696,A237400,2010,6,0
M696,A237500,2010,15,15
M696,A237600,2010,15,12
M696,A237700,2010,9,0
M696,A237800,2010,18,12
M696,A237900,2010,15,0
M696,A238000,2010,18,3
M696,A238100,2010,12,3
M696,A238200,2010,0,0
M696,A238300,2010,9,3
M696,A238400,2010,6,0
M696,A238500,2010,24,12
M696,A238600,2010,12,9
M696,A238800,2010,15,6
M696,A238900,2010,9,0
M696,A239000,2010,24,12
M696,A239100,2010,6,0
M696,A239200,2010,6,0
M696,A239300,2010,3,0
M696,A239400,2010,9,3
M696,A239500,2010,6,0
M696,A239600,2010,15,9
M696,A239800,2010,30,30
M696,A239900,2010,9,35
M696,A240000,2010,18,0
M696,A240100,2010,9,0
M696,A240200,2010,9,9
M696,A240300,2010,0,0
M696,A240400,2010,18,3
M696,A240500,2010,0,0
M696,A240600,2010,48,12
M696,A240900,2010,6,0
M696,A241200,2010,12,6
M696,A241300,2010,9,3
M696,A241400,2010,6,6
M696,A241500,2010,6,3
M696,A241600,2010,3,3
M696,A241700,2010,0,0
M696,A241800,2010,12,3
M696,A241900,2010,6,0
M696,A242000,2010,0,0
M696,A242100,2010,3,3
M696,A242200,2010,0,6
M696,A242300,2010,21,6
M696,A242400,2010,3,0
M696,A242500,2010,3,0
M696,A242600,2010,6,0
M696,A242700,2010,6,0
M696,A242800,2010,12,0
M696,A242900,2010,3,0
M696,A243000,2010,9,35
M696,A243100,2010,6,0
M696,A243200,2010,12,3
M696,A243300,2010,9,0
M696,A243400,2010,12,6
M696,A243500,2010,15,3
M696,A243600,2010,21,12
M696,A243700,2010,9,25
M696,A243800,2010,15,3
M696,A243900,2010,0,0
M696,A244000,2010,12,45
M696,A244100,2010,0,3
M696,A244200,2010,12,6
M696,A244300,2010,33,170
M696,A244400,2010,9,0
M696,A244500,2010,3,3
M696,A244600,2010,3,9
M696,A244700,2010,21,9
M696,A244800,2010,39,25
M696,A244900,2010,0,0
M696,A245000,2010,15,15
