anzsic06,Area,year,geo_count,ec_count
Q851,A350900,2010,3,0
Q851,A351000,2010,6,0
Q851,A351200,2010,3,0
Q851,A351300,2010,0,0
Q851,A351500,2010,54,85
Q851,A351600,2010,15,15
Q851,A351700,2010,0,0
Q851,A352100,2010,6,12
Q851,A352200,2010,0,0
Q851,A352400,2010,6,9
Q851,A352500,2010,0,0
Q851,A352600,2010,6,30
Q851,A352700,2010,6,3
Q851,A352800,2010,6,12
Q851,A352900,2010,0,0
Q851,A353000,2010,6,3
Q851,A353200,2010,6,6
Q851,A353300,2010,9,35
Q851,A353400,2010,12,65
Q851,A353500,2010,0,0
Q851,A353600,2010,6,0
Q851,A353700,2010,0,0
Q851,A353800,2010,0,0
Q851,A354200,2010,3,15
Q851,A354300,2010,3,9
Q851,A354400,2010,0,0
Q851,A354500,2010,0,0
Q851,A354600,2010,0,0
Q851,A354700,2010,0,12
Q851,A354800,2010,6,0
Q851,A354900,2010,9,12
Q851,A355000,2010,6,3
Q851,A355100,2010,3,6
Q851,A355200,2010,0,0
Q851,A355300,2010,6,9
Q851,A355400,2010,3,6
Q851,A355500,2010,3,0
Q851,A355600,2010,6,0
Q851,A355900,2010,3,3
Q851,A356000,2010,0,0
Q851,A356100,2010,0,0
Q851,A356300,2010,0,3
Q851,A356500,2010,3,21
Q851,A357300,2010,3,0
Q851,A357500,2010,6,9
Q851,A357600,2010,3,3
Q851,A357900,2010,0,12
Q851,A358000,2010,0,3
Q851,A358200,2010,0,9
Q851,A358400,2010,0,6
Q851,A358600,2010,0,18
Q851,A358800,2010,0,6
Q851,A359400,2010,0,0
Q851,A359800,2010,0,0
Q851,A360000,2010,0,0
Q851,A360200,2010,3,25
Q851,A360400,2010,3,12
Q851,A360500,2010,3,3
Q851,A360700,2010,3,9
Q851,A360800,2010,0,0
Q851,A360900,2010,9,3
Q851,A361000,2010,33,95
Q851,A361100,2010,9,9
Q851,A361200,2010,3,3
Q851,A361300,2010,3,0
Q851,A361500,2010,6,9
Q851,A361700,2010,0,3
Q851,A362100,2010,0,6
Q851,A362200,2010,9,3
Q851,A362300,2010,0,0
Q851,A362500,2010,0,3
Q851,A362900,2010,3,0
Q851,A363300,2010,0,6
Q851,C07601,2010,54,160
Q851,C07602,2010,102,210
Q851,C07603,2010,69,170
Q851,C07604,2010,93,150
Q851,C07605,2010,165,310
Q851,C07606,2010,51,170
Q851,C07607,2010,39,60
Q851,C07609,2010,12,50
Q851,C07610,2010,291,450
Q851,C07611,2010,54,150
Q851,C07612,2010,378,470
Q851,C07613,2010,78,130
Q851,C07614,2010,405,650
Q851,C07615,2010,78,150
Q851,C07616,2010,165,310
Q851,C07617,2010,42,150
Q851,C07618,2010,45,180
Q851,C07619,2010,39,160
Q851,C07620,2010,27,130
Q851,C07621,2010,39,150
Q851,CTotal,2010,2217,4350
Q851,R01,2010,183,500
Q851,R02,2010,2217,4350
Q851,R03,2010,489,1200
Q851,R04,2010,363,1100
Q851,R05,2010,51,130
Q851,R06,2010,198,840
Q851,R07,2010,135,460
Q851,R08,2010,255,680
Q851,R09,2010,639,1500
Q851,R12,2010,15,75
Q851,R13,2010,930,2150
Q851,R14,2010,315,660
Q851,R15,2010,105,260
Q851,R16,2010,51,130
Q851,R17,2010,108,240
Q851,R18,2010,51,120
Q851,R99,2010,0,15
Q851,RTotal,2010,6108,14400
Q851,T001,2010,45,200
Q851,T002,2010,132,270
Q851,T003,2010,9,30
Q851,T011,2010,27,55
Q851,T012,2010,15,35
Q851,T013,2010,63,90
Q851,T015,2010,24,90
Q851,T016,2010,264,650
Q851,T017,2010,42,90
Q851,T018,2010,6,21
Q851,T019,2010,15,40
Q851,T020,2010,9,15
Q851,T021,2010,24,100
Q851,T022,2010,36,80
Q851,T023,2010,180,540
Q851,T024,2010,102,320
Q851,T025,2010,33,110
Q851,T026,2010,3,12
Q851,T027,2010,6,40
Q851,T028,2010,51,130
Q851,T029,2010,9,100
Q851,T030,2010,99,330
Q851,T031,2010,81,320
Q851,T032,2010,9,90
Q851,T033,2010,117,350
Q851,T034,2010,6,35
Q851,T035,2010,12,70
Q851,T036,2010,6,21
Q851,T037,2010,51,150
Q851,T038,2010,9,55
Q851,T039,2010,18,45
Q851,T040,2010,144,300
Q851,T041,2010,9,45
Q851,T042,2010,21,60
Q851,T043,2010,42,170
Q851,T044,2010,42,130
Q851,T045,2010,27,100
Q851,T046,2010,111,280
Q851,T047,2010,381,670
Q851,T048,2010,18,85
Q851,T049,2010,3,12
Q851,T050,2010,12,25
Q851,T051,2010,51,130
Q851,T052,2010,108,240
Q851,T053,2010,51,120
Q851,T054,2010,3,18
Q851,T055,2010,3,9
Q851,T056,2010,12,50
Q851,T057,2010,6,18
Q851,T058,2010,9,60
Q851,T059,2010,42,100
Q851,T060,2010,747,1600
Q851,T062,2010,27,55
Q851,T063,2010,27,85
Q851,T064,2010,66,180
Q851,T065,2010,3,18
Q851,T066,2010,3,21
Q851,T067,2010,0,15
Q851,T068,2010,21,60
Q851,T069,2010,24,60
Q851,T070,2010,33,100
Q851,T071,2010,231,410
Q851,T072,2010,9,30
Q851,T073,2010,15,65
Q851,T074,2010,6,35
Q851,T075,2010,84,150
Q851,T076,2010,2217,4350
Q851,TTotal,2010,6108,14400
Q852,A103000,2010,0,3
Q852,A105100,2010,0,0
Q852,A105400,2010,3,6
Q852,A106600,2010,0,15
Q852,A106900,2010,0,0
Q852,A107100,2010,3,70
Q852,A110500,2010,0,6
Q852,A111300,2010,3,12
Q852,A112400,2010,0,6
Q852,A113000,2010,0,30
Q852,A114000,2010,3,3
Q852,A114900,2010,3,9
Q852,A115000,2010,3,9
Q852,A116900,2010,0,9
Q852,A117900,2010,3,0
Q852,A118100,2010,6,3
Q852,A118300,2010,3,18
Q852,A118600,2010,0,12
Q852,A118800,2010,0,20
Q852,A119100,2010,3,0
Q852,A120800,2010,0,0
Q852,A121300,2010,3,15
Q852,A123100,2010,0,0
Q852,A123400,2010,0,0
Q852,A123500,2010,6,6
Q852,A123800,2010,3,9
Q852,A124000,2010,0,12
Q852,A124800,2010,0,12
Q852,A125100,2010,0,9
Q852,A125500,2010,3,40
Q852,A125700,2010,0,3
Q852,A125900,2010,3,18
Q852,A126600,2010,0,6
Q852,A126700,2010,3,55
Q852,A127100,2010,6,55
Q852,A127200,2010,3,6
Q852,A127400,2010,3,3
Q852,A127500,2010,3,6
Q852,A128800,2010,0,6
Q852,A129200,2010,0,6
Q852,A129700,2010,0,0
Q852,A131200,2010,6,25
Q852,A131500,2010,0,6
Q852,A133000,2010,3,9
Q852,A133100,2010,3,9
Q852,A133200,2010,3,21
Q852,A133300,2010,0,3
Q852,A133900,2010,0,6
Q852,A135000,2010,3,9
Q852,A135400,2010,3,9
Q852,A135800,2010,0,9
Q852,A136100,2010,6,3
Q852,A136400,2010,3,6
Q852,A136900,2010,3,12
Q852,A137400,2010,3,0
Q852,A137900,2010,0,12
Q852,A138100,2010,0,12
Q852,A138500,2010,3,40
Q852,A138700,2010,9,90
Q852,A138900,2010,3,9
Q852,A139300,2010,3,3
Q852,A139400,2010,6,40
Q852,A139700,2010,0,0
Q852,A139900,2010,0,0
Q852,A140100,2010,0,6
Q852,A140200,2010,3,0
Q852,A140300,2010,0,0
Q852,A141000,2010,0,0
Q852,A141100,2010,3,0
Q852,A141500,2010,6,21
Q852,A141800,2010,3,3
Q852,A142000,2010,0,3
Q852,A142100,2010,0,0
Q852,A142600,2010,3,6
Q852,A142700,2010,0,0
Q852,A142800,2010,0,0
Q852,A143000,2010,0,0
Q852,A143100,2010,3,0
Q852,A143300,2010,3,55
Q852,A143500,2010,0,3
Q852,A143700,2010,3,9
Q852,A143900,2010,0,3
Q852,A144300,2010,0,0
Q852,A144600,2010,0,6
Q852,A145000,2010,3,15
Q852,A145300,2010,3,220
Q852,A145400,2010,3,12
Q852,A145900,2010,3,6
Q852,A146400,2010,3,0
Q852,A146700,2010,6,30
Q852,A147400,2010,0,15
Q852,A147700,2010,3,140
Q852,A148700,2010,0,0
Q852,A149800,2010,3,9
Q852,A150100,2010,0,12
Q852,A150200,2010,0,18
Q852,A152300,2010,3,3
Q852,A152400,2010,6,21
Q852,A153100,2010,3,18
Q852,A153900,2010,0,18
Q852,A154400,2010,0,12
Q852,A154600,2010,3,6
Q852,A154900,2010,3,45
Q852,A155500,2010,6,30
Q852,A157400,2010,0,0
Q852,A157500,2010,0,12
Q852,A159700,2010,0,6
Q852,A160100,2010,0,15
Q852,A161700,2010,3,9
Q852,A162000,2010,0,12
Q852,A162900,2010,0,6
Q852,A163200,2010,0,3
Q852,A164700,2010,0,6
Q852,A165500,2010,3,0
Q852,A166000,2010,0,20
Q852,A167100,2010,3,3
Q852,A167600,2010,3,3
